DEPTH	SP	GR	CALI	BitSize	LL8	ILM	ILD	RHOB	NPHI	DT	MudWgt	NPHI_pct	 Phixnd_chartbook 	 RhoMatrix 
4964.5	-24.8755	60.0677	9.942	10	0.378	0.3478	0.3538	2.1673	0.361267	40	10	36.1267	0.349571639	2.740918608
4965	-27.688	59.311	9.932	10	0.383	0.367	0.378	2.144	0.3573	40	10	35.73	0.34925178	2.704307115
4965.5	-27.0213	63.18	10.0347	10	0.4017	0.4008	0.4083	2.1838	0.355825	40	10	35.5825	0.336699099	2.733949235
4966	-23.063	65.655	10.093	10	0.435	0.43	0.43	2.233	0.3398	40	10	33.98	0.323918216	2.775832757
4966.5	-15.2708	69.5053	10.3378	10	0.5033	0.4772	0.4682	2.2963	0.316255	40	10	31.6255	0.302397215	2.814872741
4967	-8.5	73.182	10.137	10	0.545	0.513	0.499	2.308	0.30118	40	10	30.118	0.285615881	2.79096704
4967.5	-4.5105	77.3503	10.132	10	0.6015	0.5643	0.5437	2.3118	0.323053	40	10	32.3053	0.316685932	2.873415852
4968	-3.313	82.542	10.182	10	0.649	0.601	0.577	2.306	0.33837	40	10	33.837	0.311977064	2.852848542
4968.5	-1.563	86.6608	10.15	10	0.6455	0.6478	0.617	2.2937	0.385562	40	10	38.5562	0.335858167	2.897357042
4969	-0.313	88.44	10.055	10	0.623	0.677	0.637	2.277	0.39757	40	10	39.757	0.34215741	2.889181816
4969.5	1.0942	90.0837	9.962	10	0.6207	0.7045	0.657	2.275	0.404233	40	10	40.4233	0.349472406	2.906226224
4970	1.875	89.867	9.927	10	0.644	0.717	0.667	2.275	0.3925	40	10	39.25	0.349663415	2.906756726
4970.5	0.7603	89.6705	10.045	10	0.6792	0.723	0.6772	2.287	0.378053	40	10	37.8053	0.33347188	2.880870101
4971	-0.438	85.418	10.09	10	0.69	0.723	0.683	2.292	0.37697	40	10	37.697	0.332433008	2.885588583
4971.5	-1.698	88.6632	10.1055	10	0.7223	0.7193	0.6847	2.3032	0.383943	40	10	38.3943	0.327034046	2.887906197
4972	-4.563	90.614	10.068	10	0.734	0.716	0.683	2.294	0.40051	40	10	40.051	0.338611766	2.905293682
4972.5	-3.4897	97.6813	10.1642	10	0.7682	0.7095	0.6727	2.2887	0.409515	40	10	40.9515	0.33967494	2.900173992
4973	-4.063	98.763	10.155	10	0.779	0.702	0.661	2.292	0.42389	40	10	42.389	0.342482002	2.912878133
4973.5	-2.8025	98.0333	10.1812	10	0.7288	0.682	0.6448	2.2907	0.419187	40	10	41.9187	0.342710061	2.911529326
4974	-0.875	99.59	10.142	10	0.648	0.662	0.634	2.279	0.41822	40	10	41.822	0.343739721	2.896543288
4974.5	-1.9167	102.499	9.9907	10	0.5233	0.6335	0.6227	2.2563	0.421252	40	10	42.1252	0.349782716	2.878328613
4975	-1.5	108.609	9.974	10	0.465	0.616	0.616	2.253	0.43621	40	10	43.621	0.353457817	2.883332985
4975.5	-2.1672	108.9173	9.9715	10	0.5067	0.6057	0.605	2.2547	0.446117	40	10	44.6117	0.353580527	2.886301386
4976	-2.688	109.349	9.969	10	0.6	0.604	0.595	2.253	0.44735	40	10	44.735	0.353801286	2.884280865
4976.5	-3.1567	109.7912	10.0522	10	0.6675	0.6085	0.5875	2.2438	0.440738	40	10	44.0738	0.354521844	2.872019686
4977	-4.25	111.352	10.083	10	0.655	0.611	0.585	2.243	0.45098	40	10	45.098	0.354420228	2.87050157
4977.5	-3.9588	107.8277	10.1133	10	0.5945	0.6115	0.5878	2.256	0.447645	40	10	44.7645	0.353524604	2.888157767
4978	-4.063	103.826	10.155	10	0.562	0.609	0.592	2.271	0.46642	40	10	46.642	0.351044055	2.904436817
4978.5	-4.0317	103.513	10.2143	10	0.552	0.6073	0.599	2.2917	0.461437	40	10	46.1437	0.346611199	2.923875767
4979	-3.25	103.513	10.041	10	0.537	0.609	0.604	2.305	0.46757	40	10	46.757	0.347364298	2.946359304
4979.5	-3.2397	105.5667	10.0035	10	0.5713	0.6182	0.61	2.295	0.447757	40	10	44.7757	0.340024326	2.910672796
4980	-2.563	106.1	9.991	10	0.603	0.629	0.615	2.285	0.49489	40	10	49.489	0.35181959	2.928194715
4980.5	-2.9692	111.9567	9.9855	10	0.6252	0.6502	0.6312	2.265	0.484205	40	10	48.4205	0.352549534	2.899365451
4981	-3.125	115.525	10.008	10	0.626	0.666	0.642	2.265	0.49263	40	10	49.263	0.352797996	2.90005623
4981.5	-2.7922	110.7288	10.0137	10	0.6362	0.689	0.6558	2.2785	0.413935	40	10	41.3935	0.344016869	2.896540101
4982	-3.313	105.253	9.992	10	0.687	0.704	0.67	2.296	0.41386	40	10	41.386	0.338752381	2.908702166
4982.5	-2.2188	96.7317	9.9715	10	0.7298	0.7212	0.6902	2.308	0.382032	40	10	38.2032	0.325982356	2.892237949
4983	-2.063	94.67	10.029	10	0.774	0.732	0.701	2.313	0.38149	40	10	38.149	0.325506577	2.898386699
4983.5	-1.4483	92.311	10.3142	10	0.8147	0.7418	0.7097	2.3115	0.35754	40	10	35.754	0.306828389	2.84776344
4984	-0.875	88.951	10.63	10	0.833	0.746	0.713	2.304	0.36594	40	10	36.594	0.311612617	2.849015206
4984.5	-2.313	88.83	10.3028	10	0.7723	0.7445	0.718	2.2972	0.384007	40	10	38.4007	0.335047874	2.900430366
4985	-2.313	88.83	10.202	10	0.734	0.742	0.723	2.288	0.40489	40	10	40.489	0.339649252	2.899043923
4985.5	-1.7917	90.881	9.9492	10	0.718	0.739	0.7273	2.2993	0.396143	40	10	39.6143	0.338285496	2.912413045
4986	-1.375	91.911	9.935	10	0.713	0.739	0.729	2.306	0.38331	40	10	38.331	0.326626063	2.890981108
4986.5	-0.5005	93.7102	10.1973	10	0.6992	0.748	0.7343	2.312	0.380385	40	10	38.0385	0.32514	2.895928043
4987	-0.813	94.611	10.189	10	0.685	0.758	0.736	2.297	0.37976	40	10	37.976	0.333339036	2.895515359
4987.5	-0.4588	87.9978	10.0912	10	0.7502	0.7732	0.7322	2.2422	0.373632	40	10	37.3632	0.336678774	2.821940977
4988	-1.813	86.417	10.157	10	0.841	0.779	0.728	2.208	0.35669	40	10	35.669	0.334314651	2.764450032
4988.5	-1.0108	83.6045	10.1612	10	0.7945	0.7688	0.724	2.2147	0.363943	40	10	36.3943	0.338196837	2.784337673
4989	-2	86.417	10.132	10	0.722	0.753	0.724	2.233	0.37856	40	10	37.856	0.349070558	2.840588039
4989.5	-0.8438	87.0193	10.171	10	0.648	0.7283	0.7253	2.2515	0.403805	40	10	40.3805	0.353851947	2.882099311
4990	-0.063	88.641	10.221	10	0.693	0.715	0.717	2.254	0.39758	40	10	39.758	0.353730634	2.885633143
4990.5	0.5212	85.1822	10.4313	10	0.7428	0.7075	0.7005	2.2418	0.3851	40	10	38.51	0.3509701	2.859240983
